"FIPS","County","State","Year","Unemp_Rate"
"01001","Autauga","AL",2018,3.6
"01003","Baldwin","AL",2018,3.6
"01005","Barbour","AL",2018,5.1
"01007","Bibb","AL",2018,4
"01009","Blount","AL",2018,3.5
"01011","Bullock","AL",2018,4.7
"01013","Butler","AL",2018,4.7
"01015","Calhoun","AL",2018,4.6
"01017","Chambers","AL",2018,3.9
"01019","Cherokee","AL",2018,3.6
"01021","Chilton","AL",2018,3.6
"01023","Choctaw","AL",2018,5.5
"01025","Clarke","AL",2018,7.4
"01027","Clay","AL",2018,3.8
"01029","Cleburne","AL",2018,4.2
"01031","Coffee","AL",2018,3.9
"01033","Colbert","AL",2018,4.6
"01035","Conecuh","AL",2018,5.2
"01037","Coosa","AL",2018,4.1
"01039","Covington","AL",2018,4.6
"01041","Crenshaw","AL",2018,4
"01043","Cullman","AL",2018,3.3
"01045","Dale","AL",2018,4.2
"01047","Dallas","AL",2018,6.5
"01049","DeKalb","AL",2018,3.8
"01051","Elmore","AL",2018,3.4
"01053","Escambia","AL",2018,4.5
"01055","Etowah","AL",2018,4.1
"01057","Fayette","AL",2018,4.1
"01059","Franklin","AL",2018,3.7
"01061","Geneva","AL",2018,3.9
"01063","Greene","AL",2018,6.6
"01065","Hale","AL",2018,5.1
"01067","Henry","AL",2018,4.4
"01069","Houston","AL",2018,4
"01071","Jackson","AL",2018,4.1
"01073","Jefferson","AL",2018,3.7
"01075","Lamar","AL",2018,3.8
"01077","Lauderdale","AL",2018,4.2
"01079","Lawrence","AL",2018,4.1
"01081","Lee","AL",2018,3.6
"01083","Limestone","AL",2018,3.5
"01085","Lowndes","AL",2018,7.3
"01087","Macon","AL",2018,5.4
"01089","Madison","AL",2018,3.5
"01091","Marengo","AL",2018,4.9
"01093","Marion","AL",2018,4.1
"01095","Marshall","AL",2018,3.4
"01097","Mobile","AL",2018,4.7
"01099","Monroe","AL",2018,6.1
"01101","Montgomery","AL",2018,4
"01103","Morgan","AL",2018,3.5
"01105","Perry","AL",2018,6.5
"01107","Pickens","AL",2018,4.6
"01109","Pike","AL",2018,4.5
"01111","Randolph","AL",2018,4
"01113","Russell","AL",2018,4
"01115","St. Clair","AL",2018,3.5
"01117","Shelby","AL",2018,2.8
"01119","Sumter","AL",2018,5.8
"01121","Talladega","AL",2018,4.3
"01123","Tallapoosa","AL",2018,4.1
"01125","Tuscaloosa","AL",2018,3.6
"01127","Walker","AL",2018,4.2
"01129","Washington","AL",2018,5.8
"01131","Wilcox","AL",2018,9.5
"01133","Winston","AL",2018,4.2
"13001","Appling","GA",2018,4.3
"13003","Atkinson","GA",2018,3.5
"13005","Bacon","GA",2018,3.8
"13007","Baker","GA",2018,5.3
"13009","Baldwin","GA",2018,5
"13011","Banks","GA",2018,3.2
"13013","Barrow","GA",2018,3.3
"13015","Bartow","GA",2018,3.8
"13017","Ben Hill","GA",2018,5.9
"13019","Berrien","GA",2018,4.2
"13021","Bibb","GA",2018,4.6
"13023","Bleckley","GA",2018,5.8
"13025","Brantley","GA",2018,4.5
"13027","Brooks","GA",2018,4
"13029","Bryan","GA",2018,3.4
"13031","Bulloch","GA",2018,4.3
"13033","Burke","GA",2018,6.1
"13035","Butts","GA",2018,4.1
"13037","Calhoun","GA",2018,4.3
"13039","Camden","GA",2018,4.2
"13043","Candler","GA",2018,3.4
"13045","Carroll","GA",2018,4
"13047","Catoosa","GA",2018,3.4
"13049","Charlton","GA",2018,4.4
"13051","Chatham","GA",2018,3.8
"13053","Chattahoochee","GA",2018,5.5
"13055","Chattooga","GA",2018,4.1
"13057","Cherokee","GA",2018,3.1
"13059","Clarke","GA",2018,4
"13061","Clay","GA",2018,7.5
"13063","Clayton","GA",2018,4.9
"13065","Clinch","GA",2018,4.5
"13067","Cobb","GA",2018,3.5
"13069","Coffee","GA",2018,4.5
"13071","Colquitt","GA",2018,3.8
"13073","Columbia","GA",2018,3.5
"13075","Cook","GA",2018,3.8
"13077","Coweta","GA",2018,3.5
"13079","Crawford","GA",2018,4.2
"13081","Crisp","GA",2018,4.9
"13083","Dade","GA",2018,3.7
"13085","Dawson","GA",2018,3.3
"13087","Decatur","GA",2018,4.7
"13089","DeKalb","GA",2018,4.1
"13091","Dodge","GA",2018,5.2
"13093","Dooly","GA",2018,4.7
"13095","Dougherty","GA",2018,5.4
"13097","Douglas","GA",2018,4.2
"13099","Early","GA",2018,4.6
"13101","Echols","GA",2018,3.2
"13103","Effingham","GA",2018,3.3
"13105","Elbert","GA",2018,4.8
"13107","Emanuel","GA",2018,6
"13109","Evans","GA",2018,3.7
"13111","Fannin","GA",2018,4
"13113","Fayette","GA",2018,3.5
"13115","Floyd","GA",2018,4.3
"13117","Forsyth","GA",2018,3.2
"13119","Franklin","GA",2018,3.9
"13121","Fulton","GA",2018,4.1
"13123","Gilmer","GA",2018,4.2
"13125","Glascock","GA",2018,4.2
"13127","Glynn","GA",2018,3.7
"13129","Gordon","GA",2018,3.9
"13131","Grady","GA",2018,3.9
"13133","Greene","GA",2018,4.3
"13135","Gwinnett","GA",2018,3.6
"13137","Habersham","GA",2018,3.8
"13139","Hall","GA",2018,3.2
"13141","Hancock","GA",2018,6
"13143","Haralson","GA",2018,3.9
"13145","Harris","GA",2018,3.4
"13147","Hart","GA",2018,3.7
"13149","Heard","GA",2018,3.9
"13151","Henry","GA",2018,4.2
"13153","Houston","GA",2018,4.1
"13155","Irwin","GA",2018,5.7
"13157","Jackson","GA",2018,3.1
"13159","Jasper","GA",2018,3.5
"13161","Jeff Davis","GA",2018,4.9
"13163","Jefferson","GA",2018,5.3
"13165","Jenkins","GA",2018,5.4
"13167","Johnson","GA",2018,4
"13169","Jones","GA",2018,3.7
"13171","Lamar","GA",2018,4.7
"13173","Lanier","GA",2018,4.5
"13175","Laurens","GA",2018,4.8
"13177","Lee","GA",2018,3.6
