FIPS,county,state,abb
 01007,Bibb,Alabama,AL
 01009,Blount,Alabama,AL
 01015,Calhoun,Alabama,AL
 01017,Chambers,Alabama,AL
 01019,Cherokee,Alabama,AL
 01021,Chilton,Alabama,AL
 01027,Clay,Alabama,AL
 01029,Cleburne,Alabama,AL
 01033,Colbert,Alabama,AL
 01037,Coosa,Alabama,AL
 01043,Cullman,Alabama,AL
 01049,DeKalb,Alabama,AL
 01051,Elmore,Alabama,AL
 01055,Etowah,Alabama,AL
 01057,Fayette,Alabama,AL
 01059,Franklin,Alabama,AL
 01065,Hale,Alabama,AL
 01071,Jackson,Alabama,AL
 01073,Jefferson,Alabama,AL
 01075,Lamar,Alabama,AL
 01077,Lauderdale,Alabama,AL
 01079,Lawrence,Alabama,AL
 01083,Limestone,Alabama,AL
 01087,Macon,Alabama,AL
 01089,Madison,Alabama,AL
 01093,Marion,Alabama,AL
 01095,Marshall,Alabama,AL
 01103,Morgan,Alabama,AL
 01107,Pickens,Alabama,AL
 01111,Randolph,Alabama,AL
 01117,Shelby,Alabama,AL
 01115,St. Clair,Alabama,AL
 01121,Talladega,Alabama,AL
 01123,Tallapoosa,Alabama,AL
 01125,Tuscaloosa,Alabama,AL
 01127,Walker,Alabama,AL
 01133,Winston,Alabama,AL
 13011,Banks,Georgia,GA
 13013,Barrow,Georgia,GA
 13015,Bartow,Georgia,GA
 13045,Carroll,Georgia,GA
 13047,Catoosa,Georgia,GA
 13055,Chattooga,Georgia,GA
 13057,Cherokee,Georgia,GA
 13083,Dade,Georgia,GA
 13085,Dawson,Georgia,GA
 13097,Douglas,Georgia,GA
 13105,Elbert,Georgia,GA
 13111,Fannin,Georgia,GA
 13115,Floyd,Georgia,GA
 13117,Forsyth,Georgia,GA
 13119,Franklin,Georgia,GA
 13123,Gilmer,Georgia,GA
 13129,Gordon,Georgia,GA
 13135,Gwinnett,Georgia,GA
 13137,Habersham,Georgia,GA
 13139,Hall,Georgia,GA
 13143,Haralson,Georgia,GA
 13147,Hart,Georgia,GA
 13149,Heard,Georgia,GA
 13157,Jackson,Georgia,GA
 13187,Lumpkin,Georgia,GA
 13195,Madison,Georgia,GA
 13213,Murray,Georgia,GA
 13223,Paulding,Georgia,GA
 13227,Pickens,Georgia,GA
 13233,Polk,Georgia,GA
 13241,Rabun,Georgia,GA
 13257,Stephens,Georgia,GA
 13281,Towns,Georgia,GA
 13291,Union,Georgia,GA
 13295,Walker,Georgia,GA
 13311,White,Georgia,GA
 13313,Whitfield,Georgia,GA
 21001,Adair,Kentucky,KY
 21011,Bath,Kentucky,KY
 21013,Bell,Kentucky,KY
 21019,Boyd,Kentucky,KY
 21025,Breathitt,Kentucky,KY
 21043,Carter,Kentucky,KY
 21045,Casey,Kentucky,KY
 21049,Clark,Kentucky,KY
 21051,Clay,Kentucky,KY
 21053,Clinton,Kentucky,KY
 21057,Cumberland,Kentucky,KY
 21061,Edmonson,Kentucky,KY
 21063,Elliott,Kentucky,KY
 21065,Estill,Kentucky,KY
 21069,Fleming,Kentucky,KY
 21071,Floyd,Kentucky,KY
 21079,Garrard,Kentucky,KY
 21087,Green,Kentucky,KY
 21089,Greenup,Kentucky,KY
 21095,Harlan,Kentucky,KY
 21099,Hart,Kentucky,KY
 21109,Jackson,Kentucky,KY
 21115,Johnson,Kentucky,KY
 21119,Knott,Kentucky,KY
 21121,Knox,Kentucky,KY
 21125,Laurel,Kentucky,KY
 21127,Lawrence,Kentucky,KY
 21129,Lee,Kentucky,KY
 21131,Leslie,Kentucky,KY
 21133,Letcher,Kentucky,KY
 21135,Lewis,Kentucky,KY
 21137,Lincoln,Kentucky,KY
 21151,Madison,Kentucky,KY
 21153,Magoffin,Kentucky,KY
 21159,Martin,Kentucky,KY
 21147,McCreary,Kentucky,KY
 21165,Menifee,Kentucky,KY
 21169,Metcalfe,Kentucky,KY
 21171,Monroe,Kentucky,KY
 21173,Montgomery,Kentucky,KY
 21175,Morgan,Kentucky,KY
 21181,Nicholas,Kentucky,KY
 21189,Owsley,Kentucky,KY
 21193,Perry,Kentucky,KY
 21195,Pike,Kentucky,KY
 21197,Powell,Kentucky,KY
 21199,Pulaski,Kentucky,KY
 21201,Robertson,Kentucky,KY
 21203,Rockcastle,Kentucky,KY
 21205,Rowan,Kentucky,KY
 21207,Russell,Kentucky,KY
 21231,Wayne,Kentucky,KY
 21235,Whitley,Kentucky,KY
 21237,Wolfe,Kentucky,KY
 24001,Allegany,Maryland,MD
 24023,Garrett,Maryland,MD
 24043,Washington,Maryland,MD
 28003,Alcorn,Mississippi,MS
 28009,Benton,Mississippi,MS
 28013,Calhoun,Mississippi,MS
 28017,Chickasaw,Mississippi,MS
 28019,Choctaw,Mississippi,MS
 28025,Clay,Mississippi,MS
 28057,Itawamba,Mississippi,MS
 28069,Kemper,Mississippi,MS
 28081,Lee,Mississippi,MS
 28087,Lowndes,Mississippi,MS
 28093,Marshall,Mississippi,MS
 28095,Monroe,Mississippi,MS
 28097,Montgomery,Mississippi,MS
 28103,Noxubee,Mississippi,MS
 28105,Oktibbeha,Mississippi,MS
 28107,Panola,Mississippi,MS
 28115,Pontotoc,Mississippi,MS
 28117,Prentiss,Mississippi,MS
 28139,Tippah,Mississippi,MS
 28141,Tishomingo,Mississippi,MS
 28145,Union,Mississippi,MS
 28155,Webster,Mississippi,MS
 28159,Winston,Mississippi,MS
 28161,Yalobusha,Mississippi,MS
 36003,Allegany,New York,NY
 36007,Broome,New York,NY
 36009,Cattaraugus,New York,NY
 36013,Chautauqua,New York,NY
 36015,Chemung,New York,NY
 36017,Chenango,New York,NY
 36023,Cortland,New York,NY
 36025,Delaware,New York,NY
 36077,Otsego,New York,NY
 36095,Schoharie,New York,NY
 36097,Schuyler,New York,NY
 36101,Steuben,New York,NY
 36107,Tioga,New York,NY
 36109,Tompkins,New York,NY
 37003,Alexander,North Carolina,NC
 37005,Alleghany,North Carolina,NC
 37009,Ashe,North Carolina,NC
 37011,Avery,North Carolina,NC
 37021,Buncombe,North Carolina,NC
 37023,Burke,North Carolina,NC
 37027,Caldwell,North Carolina,NC
 37035,Catawba,North Carolina,NC
 37039,Cherokee,North Carolina,NC
 37043,Clay,North Carolina,NC
 37045,Cleveland,North Carolina,NC
 37059,Davie,North Carolina,NC
 37067,Forsyth,North Carolina,NC
 37075,Graham,North Carolina,NC
 37087,Haywood,North Carolina,NC
 37089,Henderson,North Carolina,NC
 37099,Jackson,North Carolina,NC
 37113,Macon,North Carolina,NC
 37115,Madison,North Carolina,NC
 37111,McDowell,North Carolina,NC
 37121,Mitchell,North Carolina,NC
 37149,Polk,North Carolina,NC
 37161,Rutherford,North Carolina,NC
 37169,Stokes,North Carolina,NC
 37171,Surry,North Carolina,NC
 37173,Swain,North Carolina,NC
 37175,Transylvania,North Carolina,NC
 37189,Watauga,North Carolina,NC
 37193,Wilkes,North Carolina,NC
 37197,Yadkin,North Carolina,NC
 37199,Yancey,North Carolina,NC
 39001,Adams,Ohio,OH
 39007,Ashtabula,Ohio,OH
 39009,Athens,Ohio,OH
 39013,Belmont,Ohio,OH
 39015,Brown,Ohio,OH
 39019,Carroll,Ohio,OH
 39025,Clermont,Ohio,OH
 39029,Columbiana,Ohio,OH
 39031,Coshocton,Ohio,OH
 39053,Gallia,Ohio,OH
 39059,Guernsey,Ohio,OH
 39067,Harrison,Ohio,OH
 39071,Highland,Ohio,OH
 39073,Hocking,Ohio,OH
 39075,Holmes,Ohio,OH
 39079,Jackson,Ohio,OH
 39081,Jefferson,Ohio,OH
 39087,Lawrence,Ohio,OH
 39099,Mahoning,Ohio,OH
 39105,Meigs,Ohio,OH
 39111,Monroe,Ohio,OH
